"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
26012,166,"PRK","North Korea",3,"Hamgyong-namdo",37,"Doksong","","","Gun","County"
26013,166,"PRK","North Korea",3,"Hamgyong-namdo",38,"Hoch'on","","Hochon","Gun","County"
26014,166,"PRK","North Korea",3,"Hamgyong-namdo",39,"Hamhung","","Hamhung","Si","City"
26015,166,"PRK","North Korea",3,"Hamgyong-namdo",40,"Hamju","","","Gun","County"
26016,166,"PRK","North Korea",3,"Hamgyong-namdo",41,"Hongwon","","Hongwon","Gun","County"
26017,166,"PRK","North Korea",3,"Hamgyong-namdo",42,"Jangjin","","","Gun","County"
26018,166,"PRK","North Korea",3,"Hamgyong-namdo",43,"Kumho","","Kumho","Gun","County"
26019,166,"PRK","North Korea",3,"Hamgyong-namdo",44,"Kumya","","Kumya","Gun","County"
26020,166,"PRK","North Korea",3,"Hamgyong-namdo",45,"Kowon","","Kowon","Gun","County"
26021,166,"PRK","North Korea",3,"Hamgyong-namdo",46,"Pujon","","Bujon","Gun","County"
26022,166,"PRK","North Korea",3,"Hamgyong-namdo",47,"Pukch'ong","","Pukchong","Gun","County"
26023,166,"PRK","North Korea",3,"Hamgyong-namdo",48,"Rakwon","","","Gun","County"
26024,166,"PRK","North Korea",3,"Hamgyong-namdo",49,"Riwon","","Riwon","Gun","County"
26025,166,"PRK","North Korea",3,"Hamgyong-namdo",50,"Sinhung","","Sinhung","Gun","County"
26026,166,"PRK","North Korea",3,"Hamgyong-namdo",51,"Sinp'o","","Sinpo","Si","City"
